Text,Translation,Language,Category
"If you have any other problems, you can tell me in English.","Jika anda mempunyai sebarang masalah lain, anda boleh beritahu saya dalam bahasa Inggeris.",Malay,Medical Conditions
I’m going to examine you.,Saya akan memeriksa anda.,Malay,Medical Instructions
Tell me if you feel more pain.,Beritahu saya jika anda berasa lebih sakit.,Malay,Medical Instructions
Please remove your shirt.,Sila keluarkan baju anda.,Malay,Medical Instructions
Keep taking deep breaths through your mouth.,Terus mengambil nafas dalam-dalam melalui mulut anda.,Malay,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","Mengatakan ""99"" apabila saya mendengar dengan stetoskop saya.",Malay,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,Saya akan meletakkan putik kapas ini ke dalam lubang hidung anda. Anda akan berasa pelik tetapi ia tidak menyakitkan,Malay,Medical Instructions
This is to test for coronavirus,Ini adalah untuk ujian bagi coronavirus,Malay,Medical Instructions
Tilt your head back,Sengetkan belakang kepala anda,Malay,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Jika positif coronavirus, kita panggil telefon anda dengan esok.",Malay,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Jika coronavirus negatif, kami menghantar SMS (teks) selepas 3 hari",Malay,Medical Instructions
"Later, you will do an X-ray","Kemudian, anda akan melakukan X-ray",Malay,Medical Instructions
There is no sign of infection on your X-ray,Tidak ada tanda-tanda jangkitan pada sinar-X anda,Malay,Medical Instructions
You can go back soon.,Anda boleh kembali tidak lama lagi.,Malay,Medical Instructions
"Wait here, do not leave this area","Tunggu di sini, tidak meninggalkan kawasan ini",Malay,Medical Instructions
You have to stay in the hospital for a few days,Anda perlu tinggal di hospital selama beberapa hari,Malay,Medical Instructions
We need to transfer you to another location.,Kita perlu memindahkan anda ke lokasi yang lain.,Malay,Medical Instructions
I'll give you medicine to make you feel better,Saya akan memberikan anda ubat untuk membuat anda berasa lebih baik,Malay,Medical Instructions
You must not work for next 5 days.,Anda tidak perlu bekerja untuk 5 hari akan datang.,Malay,Medical Instructions
You must come back if you have problems with breathing.,Anda mesti kembali jika anda mempunyai masalah dengan pernafasan.,Malay,Medical Instructions
You must come back if you do not recover completely after 5 days,Anda mesti kembali jika anda tidak sembuh sepenuhnya selepas 5 hari,Malay,Medical Instructions
Read the handout carefully,Baca nota berhati-hati,Malay,Medical Instructions
Thank you,Terima kasih,Malay,Greetings
Good morning / afternoon / evening,Selamat pagi / tengah hari / petang,Malay,Greetings
I am the nurse,Saya jururawat,Malay,Greetings
I am the doctor,Saya doktor,Malay,Greetings
You are in the intensive care unit.,Anda berada di dalam unit rawatan rapi.,Malay,Medical Instructions
Today is Monday,Hari ini adalah Isnin,Malay,Greetings
Today is Tuesday,Hari ini hari selasa,Malay,Greetings
Today is Wednesday,Hari ini hari rabu,Malay,Greetings
Today is Thursday,Hari ini adalah hari Khamis,Malay,Greetings
Today is Friday,Hari ini Jumaat,Malay,Greetings
Today is Saturday,Hari ini hari Sabtu,Malay,Greetings
Today is Sunday,Hari ini hari Ahad,Malay,Greetings
You are getting better,Anda mendapat lebih baik,Malay,Greetings
We will remove the breathing tube when you are better,Kami akan mengeluarkan tiub pernafasan apabila anda lebih baik,Malay,Medical Instructions
You can talk after we remove the breathing tube,Anda boleh bercakap selepas kami mengeluarkan tiub pernafasan,Malay,Medical Instructions
Take a deep breath,Ambil nafas dalam-dalam,Malay,Medical Instructions
Give me a big cough,Berikan saya batuk besar,Malay,Medical Instructions
Don’t struggle,Tidak berjuang,Malay,Medical Instructions
Don’t move,Tidak bergerak,Malay,Medical Instructions
Lift up your arm,Mengangkat lengan anda,Malay,Medical Instructions
Lift up your leg,Mengangkat kaki anda,Malay,Medical Instructions
Squeeze my hand,Memerah tangan saya,Malay,Medical Instructions
Show me two fingers,Menunjukkan kepada saya dua jari,Malay,Medical Instructions
Open your mouth,Buka mulut awak,Malay,Medical Instructions
Stick out your tongue,Jelirkan lidah anda,Malay,Medical Instructions
Open your eyes,Buka mata awak,Malay,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Saya akan bersinar cahaya ke dalam mata anda. Ia akan menjadi terang.,Malay,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,paru-paru anda lemah. Kami akan memasukkan tiub pernafasan untuk membantu anda bernafas,Malay,Medical Instructions
You are going to sleep now,Anda akan tidur sekarang,Malay,Medical Instructions
We are turning you onto your belly to help your lungs expand,Kita menjadikan anda ke perut anda untuk membantu paru-paru anda mengembangkan,Malay,Medical Instructions
We are inserting a tube to help you pass urine,Kami memasukkan tiub untuk membantu anda membuang air kecil,Malay,Medical Instructions
We are inserting a tube through your nose,Kami memasukkan tiub melalui hidung anda,Malay,Medical Instructions
We are going to give you an injection in your neck to give you medications,Kami akan memberi anda suntikan di leher anda untuk memberikan anda ubat-ubatan,Malay,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Kami akan memberi anda suntikan di lengan anda untuk mengukur tekanan darah anda,Malay,Medical Instructions
We will give you sleeping medications.,Kami akan memberi anda ubat tidur.,Malay,Medical Instructions
We will give you painkillers.,Kami akan memberi anda ubat penahan sakit.,Malay,Medical Instructions
We are giving you medication to keep your blood pressure up.,Kami memberikan anda ubat untuk mengekalkan tekanan darah anda.,Malay,Medical Instructions
We are going to remove the breathing tube.,Kita akan keluarkan tiub pernafasan.,Malay,Medical Instructions
We are going to suck out your phlegm,Kita akan menyedut keluar kahak anda,Malay,Medical Instructions
We are going to clean you with a sponge,Kita akan menyucikan kamu dengan span,Malay,Medical Instructions
Turn left,belok kiri,Malay,Medical Instructions
Turn right,Belok kanan,Malay,Medical Instructions
We will change your diapers,Kami akan menukar lampin anda,Malay,Medical Instructions
Lift up your leg,Mengangkat kaki anda,Malay,Medical Instructions
We are going to sit you up,Kami akan duduk anda sehingga,Malay,Medical Instructions
We are going to shift you up the bed,Kita akan beralih anda ke atas katil,Malay,Medical Instructions
We are going to clean your mouth,Kita akan membersihkan mulut anda,Malay,Medical Instructions
Do not swallow the gargle,Jangan telan berkumur yang,Malay,Medical Instructions
